interceptionId,playId,teamId,playerId,intPosition,intYards,intTd
1540107,1008662,610,20010021,CB,31,True
1540108,1008710,610,19980013,LB,8,False
1540109,1008821,810,20040110,CB,46,False
1540110,1008839,810,20040110,CB,22,False
1540111,1008924,750,20030082,CB,10,False
1540112,1009028,810,20000009,LB,20,False
1540113,1009136,750,20010040,CB,1,False
1540114,1009153,920,19980017,LB,-1,False
1540115,1009169,920,20040049,CB,1,False
1540116,1009194,920,19960044,CB,0,False
1540117,1009211,920,20040056,S,2,False
1540118,1009239,920,20000015,CB,0,False
1540119,1009315,1050,20030615,DB,0,False
1540120,1009395,1050,20040059,DB,15,False
1540121,1009468,810,20030116,DT,3,False
1540122,1009533,810,20040110,CB,0,False
1540123,1009543,810,20000039,S,41,True
1540124,1009587,810,20040110,CB,24,False
1540125,1009601,810,20030068,LB,20,False
1540126,1009629,1800,20000034,S,6,False
1540127,1009704,810,20030035,CB,95,False
1540128,1009774,810,20040110,CB,45,True
1540129,1009895,810,20030035,CB,55,False
1540130,1009937,3000,19980033,S,0,False
1540131,1009941,810,20050181,S,44,False
1540132,1010061,810,20000039,S,3,False
1540133,1010065,4500,20040058,CB,0,False
1540134,1010182,920,20000015,CB,0,False
1540135,1010219,920,20010482,S,15,False
1540136,1010253,325,19890005,CB,33,False
1540137,1010309,610,19920007,CB,42,False
1540138,1010321,920,20010476,S,0,False
1540139,1010446,610,20030111,CB,46,True
1540140,1010490,1050,20020141,LB,14,False
1540141,1010553,920,20000015,CB,9,False
1540142,1010668,920,20050048,LB,0,False
1540143,1010694,920,20000015,CB,0,False
1540144,1010703,920,20000015,CB,21,False
1540145,1010708,920,19960044,CB,0,False
1540146,1010716,920,20050048,LB,10,False
1540147,1010729,1800,20040025,CB,0,False
1540148,1010999,920,20040417,LB,45,True
1540149,1011148,920,20040049,CB,35,False
1540150,1011200,2200,20050029,DB,16,False
1540151,1011279,3000,20020070,S,0,False
1540152,1011312,920,19960044,CB,5,False
1540153,1011326,920,20000015,CB,0,False
1540154,1011341,920,20010476,S,6,False
1540155,1011368,920,20000015,CB,27,False
1540156,1011381,920,20000015,CB,0,False
1540157,1011413,3200,20030120,CB,0,False
1540158,1011437,920,20000015,CB,18,False
1540159,1011564,3200,19970024,CB,9,False
1540160,1011651,920,19960044,CB,0,False
1540161,1011654,3900,20020094,S,55,False
1540162,1011662,3900,19990109,DE,0,False
1540163,1011847,3900,19970008,LB,22,False
1540164,1011871,3900,20030016,S,4,False
1540165,1011965,1050,20010563,DB,37,False
1540166,1011984,325,20020024,S,23,False
1540167,1012053,1050,20010563,DB,13,False
1540168,1012098,750,20010011,LB,5,False
1540169,1012248,810,20030035,CB,0,False
1540170,1012278,810,20000039,S,72,False
1540171,1012488,920,20050048,LB,14,False
1540172,1012518,920,20040049,CB,16,False
1540173,1012535,1050,20030615,DB,0,False
1540174,1012598,1540,19990041,CB,5,False
1540175,1012627,1540,19980028,CB,6,False
1540176,1012672,1540,20020068,CB,-4,False
1540177,1012771,1050,20010563,DB,0,False
1540178,1012868,1050,20010102,LB,0,False
1540179,1012954,1050,20030084,DB,11,False
1540180,1012969,2700,20000058,S,16,False
1540181,1013079,1050,20030084,DB,8,False
1540182,1013150,1050,20050103,DB,-3,False
1540183,1013407,2100,20000030,LB,0,False
1540184,1013496,1050,20050034,DB,1,False
1540185,1013623,1200,20010097,CB,58,True
1540186,1013646,1200,19940012,CB,0,False
1540187,1013671,1400,19990007,CB,65,True
1540188,1013700,1400,19960406,S,1,False
1540189,1013710,1200,20030005,CB,4,False
1540190,1014010,1200,20030005,CB,0,False
1540191,1014043,1200,19990085,LB,2,False
1540192,1014288,1200,20040121,CB,-3,False
1540193,1014493,3410,20040720,CB,20,False
1540194,1014541,1200,20010097,CB,43,False
1540195,1014950,2510,20050066,S,42,False
1540196,1014960,2510,19990506,CB,19,False
1540197,1014994,1200,20030005,CB,12,False
1540198,1015207,1400,19960406,S,0,False
1540199,1015248,1400,19990007,CB,10,False
